seed,condition,exp,peak_acc,final_acc,forgetting
42,baseline,0,0.9755,0.7036,0.27190000000000003
42,baseline,1,0.9765,0.9086,0.06790000000000007
42,baseline,2,0.9756,0.9476,0.028000000000000025
42,baseline,3,0.9766,0.962,0.014600000000000057
42,baseline,4,0.9767,0.9767,0.0
123,baseline,0,0.9755,0.6877,0.28780000000000006
123,baseline,1,0.9768,0.8565,0.12029999999999996
123,baseline,2,0.9754,0.9204,0.05500000000000005
123,baseline,3,0.9758,0.9655,0.010299999999999976
123,baseline,4,0.9763,0.9763,0.0
7,baseline,0,0.9757,0.6248,0.3509
7,baseline,1,0.976,0.8909,0.08509999999999995
7,baseline,2,0.9766,0.941,0.035600000000000076
7,baseline,3,0.9764,0.9606,0.015800000000000036
7,baseline,4,0.9768,0.9768,0.0
42,P_min,0,0.9755,0.9545,0.02100000000000002
42,P_min,1,0.9741,0.9453,0.028799999999999937
42,P_min,2,0.9736,0.9544,0.019199999999999995
42,P_min,3,0.9741,0.9581,0.016000000000000014
42,P_min,4,0.9747,0.9747,0.0
123,P_min,0,0.9755,0.9558,0.01970000000000005
123,P_min,1,0.9751,0.9452,0.029899999999999927
123,P_min,2,0.974,0.9568,0.017199999999999993
123,P_min,3,0.9757,0.9636,0.0121
123,P_min,4,0.9743,0.9743,0.0
7,P_min,0,0.9757,0.9557,0.020000000000000018
7,P_min,1,0.9754,0.9503,0.02510000000000001
7,P_min,2,0.975,0.9569,0.018100000000000005
7,P_min,3,0.9754,0.9655,0.00990000000000002
7,P_min,4,0.9746,0.9746,0.0
42,P_equ,0,0.9755,0.9557,0.01980000000000004
42,P_equ,1,0.975,0.9469,0.028100000000000014
42,P_equ,2,0.9754,0.9558,0.019600000000000062
42,P_equ,3,0.9754,0.96,0.01540000000000008
42,P_equ,4,0.9735,0.9735,0.0
123,P_equ,0,0.9755,0.9583,0.017199999999999993
123,P_equ,1,0.9741,0.9462,0.027899999999999925
123,P_equ,2,0.9736,0.9541,0.019500000000000073
123,P_equ,3,0.975,0.964,0.01100000000000001
123,P_equ,4,0.9758,0.9758,0.0
7,P_equ,0,0.9757,0.9552,0.020499999999999963
7,P_equ,1,0.9745,0.95,0.024500000000000077
7,P_equ,2,0.9735,0.9572,0.01629999999999998
7,P_equ,3,0.975,0.959,0.016000000000000014
7,P_equ,4,0.9752,0.9752,0.0
